Date,Product ID,Quantity,Unit Price,Total Revenue
2025-08-01,101,3,0.99,2.97
2025-08-01,102,5,0.59,2.95
2025-08-02,104,2,1.49,2.98
2025-08-03,105,1,1.99,1.99
2025-08-03,103,4,0.39,1.56







































































































































































































































































































































































































































































































































































































































































































































